"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-01","0.00","63","33"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-02","0.00","62","40"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-03","0.00","61","49"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-04","0.00","65","53"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-05","1.73","60","53"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-06","1.81","57","48"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-07","0.55","59","44"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-08","0.00","63","41"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-09","0.02","59","48"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-10","0.09","58","50"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-11","0.00","61","45"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-12","0.00","61","38"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-13","0.00","72","42"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-14","0.00","62","41"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-15","0.00","68","46"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-16","0.00","64","50"
"USW00053152","SANTA BARBARA 11 W, CA US","34.4141","-119.8796","5.5","2016-01-17","0.00","61","52"
